State,Minimum Pincode,Maximum Pincode
Andaman Nicobar Islands,744101,744304
Andhra Pradesh,507130,535594
Arunachal Pradesh,790001,792131
Assam,781001,788931
Bihar,800001,855117
Chandigarh,140119,160102
Chattisgarh,490001,497778
Dadra Nagar Haveli,396193,396240
Daman Diu,362520,396220
Delhi,110001,110097
Goa,403001,403806
Gujarat,360001,396590
Haryana,121001,136156
Himachal Pradesh,171001,177601
Jammu Kashmir,180001,194404
Jharkhand,813208,835325
Karnataka,560001,591346
Kerala,670001,695615
Lakshadweep,682551,682559
Madhya Pradesh,450001,488448
Maharashtra,400001,445402
Manipur,795001,795159
Meghalaya,783123,794115
Mizoram,796001,796901
Nagaland,797001,798627
Odisha,751001,770076
Pondicherry,533464,673310
Punjab,140001,160104
Rajasthan,301001,345034
Sikkim,737101,737139
Tamil Nadu,600001,643253
Telangana,500001,509412
Tripura,799001,799290
Uttar Pradesh,201001,285223
Uttarakhand,244712,263680
West Bengal,700001,743711
